Branch,Store_Name,Dec,Nov,Oct,Sep,Aug
Delhi_Ncr,Delhi(Janakpuri) Br,23%,17%,16%,25%,24%
Delhi_Ncr,Haryana(Gurgaon) Br,21%,26%,15%,28%,4%
Delhi_Ncr,Up(Greater Noida) Br,25%,36%,30%,41%,43%
Pune,Pune(Bhosari) Br,33%,33%,36%,13%,32%
Gujarat,Ahmedabad(Maninagar) Br,19%,11%,14%,21%,17%
Pune,Pune(Nagar Road) Br,46%,35%,17%,11%,21%
Pune,Pune(Chinchwad) Br,29%,31%,30%,17%,26%
Thane,Bhiwandi Br,44%,44%,33%,21%,39%
Delhi_Ncr,Up (Noida Sec.18) Br,19%,22%,21%,26%,21%
Pune,Pune(Baner) Br,26%,25%,29%,19%,19%
Delhi_Ncr,Delhi(Hauz Khas),63%,60%,52%,80%,56%
Delhi_Ncr,Delhi(Rohini) Br,31%,36%,27%,9%,15%
Telangana,Ts(Kondapur),56%,42%,13%,14%,17%
Delhi_Ncr,Up(Raj Nagar Dc) Br,40%,41%,27%,26%,16%
Pune,Pune(Station Rd) Br,13%,21%,19%,36%,14%
Thane,Panvel Br,18%,18%,27%,18%,22%
Mumbai,Opera House Br,23%,21%,20%,22%,24%
Delhi_Ncr,Delhi(Daryaganj),39%,52%,31%,39%,32%
Telangana,Ts(Vivekananda Nagar),31%,31%,8%,0%,4%
Mumbai,Chakala Andheri Br,18%,20%,17%,17%,6%
Thane,Ghodbunder Br,31%,16%,21%,14%,11%
Delhi_Ncr,Haryana(Mewla M.) Br,52%,40%,33%,36%,15%
Thane,Virar Br,24%,10%,16%,11%,6%
Delhi_Ncr,Haryana(New Faridabad),36%,22%,12%,0%,4%
Delhi_Ncr,Delhi(Patel Nagar) Br,46%,27%,28%,18%,40%
Delhi_Ncr,Delhi(Roop Nagar),17%,31%,19%,22%,17%
Delhi_Ncr,Delhi(Rajouri Garden) Br,21%,26%,25%,22%,36%
Delhi_Ncr,Delhi(Kalkaji) Br,39%,36%,27%,11%,0%
Delhi_Ncr,Delhi(Karol Bagh) Br,43%,25%,19%,41%,12%
Pune,Pune(Dange Chowk),58%,70%,56%,0%,0%
Delhi_Ncr,Delhi(Lajpatnagar) Br,18%,10%,7%,9%,21%
Pune,Pune(Rahatni) Br,23%,19%,16%,22%,13%
Delhi_Ncr,Delhi(Dwarka) Br,36%,31%,28%,21%,24%
Mumbai,MAHIM(VS Next),0%,0%,0%,0%,0%
Delhi_Ncr,Haryana(Faridabad) Br,23%,25%,33%,15%,8%
Delhi_Ncr,Delhi(Model Town Iii) Br,46%,26%,29%,26%,29%
Telangana,Ts(Nallakunta),29%,16%,10%,0%,16%
Thane,Vasai Br,7%,10%,7%,25%,12%
Delhi_Ncr,Delhi(Paschim Vihar),35%,27%,30%,33%,34%
Thane,Dombivli Br,21%,19%,20%,43%,4%
Thane,Mira Road Br,20%,27%,28%,22%,7%
Gujarat,Surat(Ved Road),29%,28%,13%,8%,8%
Thane,Kalyan Br,20%,18%,13%,9%,5%
Gujarat,Ahmedabad(Dev Arc) Br,25%,18%,14%,24%,20%
Gujarat,Ahmedabad(Bopal),35%,31%,16%,14%,16%
Delhi_Ncr,Delhi(Vikas Marg) Br,32%,37%,40%,28%,31%
Pune,Pune(Dhankawadi-Satara Rd),12%,28%,20%,21%,13%
Thane,Vashi Br,11%,15%,11%,15%,11%
Telangana,Ts(Jubilee Hills),0%,15%,4%,7%,14%
Mumbai,Linking Road Br,4%,42%,38%,30%,31%
Pune,Pune(Kothrud) Br,29%,30%,24%,29%,37%
Telangana,Ts(Warangal),13%,3%,4%,0%,0%
Gujarat,Surat(Varachha) Br,20%,20%,16%,18%,16%
Thane,Palghar,33%,30%,25%,29%,16%
Mumbai,Andheri Br,39%,37%,34%,43%,15%
Pune,Pune(S Bapat Rd),54%,33%,26%,29%,27%
Mumbai,Borivali Br,26%,31%,31%,19%,8%
Delhi_Ncr,Up(Indirapuram) Br,13%,24%,18%,15%,3%
Mumbai,Goregaon (W) Br,44%,26%,29%,29%,17%
Telangana,Ts(Bhel),83%,23%,7%,15%,17%
Pune,Pune(Satara Rd) Br,6%,22%,27%,45%,26%
Mumbai,Prabhadevi Br,30%,28%,18%,24%,19%
Delhi_Ncr,Delhi(Defence Enclave-Palam) Br,45%,41%,32%,25%,31%
Delhi_Ncr,Delhi(Shahdara) Br,25%,25%,39%,33%,38%
Pune,Pune(Kondhawa),48%,61%,35%,35%,28%
Gujarat,Ahmedabad(Odhav) Br,46%,6%,17%,7%,10%
Telangana,Ts(Kothapet),25%,32%,20%,8%,15%
Delhi_Ncr,Delhi(Mahavir Enclave),43%,28%,23%,36%,20%
Pune,Pune(Hinjewadi) Br,21%,38%,27%,23%,3%
Pune,Pune(Hadapsar),33%,62%,71%,67%,60%
Pune,Pune(Solapur Rd) Br,30%,31%,19%,14%,7%
Delhi_Ncr,Haryana(Jacobpura) Br,27%,25%,13%,22%,2%
Thane,Belapur Br,4%,16%,17%,29%,17%
Gujarat,Surat(Bhatar),22%,4%,14%,11%,12%
Mumbai,Santacruz Br,60%,24%,10%,10%,1%
Mumbai,Bhandup Br,23%,18%,11%,13%,11%
